OP;Ref;Coleccion;UndProg;UndCort;FechaCorte;Estado de integracion;Bodega Despacho;InvPlanta;NombrePlanta;FSalidaConf;FEntregaConf;Proceso;InvBPT;Saldo BPT;Descripcion;Cuento;Genero;Tipo Tejido; pvp ; TEMPLO DE LA MODA ; BARRANCA ; VALOR FACTURACION  
5498;806541;MODA UNIVERSO 2026 1;216;282;27/03/2026;No;0;282;ORTEGA MORENO KATHERINE;08-abr-26;30-abr-26;CONFECCION;0;282;BLUSAS;BASICO;DAMA;NA; $ 46.990 ; $ 19.030 ; $ 16.823 ; $ 5.179.748 
5499;700804;MODA UNIVERSO 2026 1;171;81;27/03/2026;No;0;0;;;;;0;81;PANTALONES;BASICO;DAMA;NA; $ 62.990 ; $ 28.296 ; $ 25.014 ; $ 2.212.223 
5500;MF5278;MODA UNIVERSO 2026 1;172;112;27/03/2026;No;0;0;;;;;0;112;FALDAS;MODAFRESCA;DAMA;NA; $ 52.990 ; $ 22.508 ; $ 19.897 ; $ 2.433.166 
5501;806533;MODA UNIVERSO 2026 1;216;264;27/03/2026;No;0;264;VALLEJO RIASCOS LILIANA PATRICIA;08-abr-26;23-abr-26;CONFECCION;0;264;BLUSAS;BASICO;DAMA;NA; $ 42.990 ; $ 18.207 ; $ 16.095 ; $ 4.639.378 
5504;806447;MODA UNIVERSO 2025;220;275;30/03/2026;No;0;275;GONZALEZ ARAGON TATIANA;06-abr-26;15-abr-26;RESORTADO;0;275;BLUSAS;BASICO;DAMA;NA; $ 37.990 ; $ 17.036 ; $ 15.060 ; $ 4.521.880 
5505;U24615;MODA UNIVERSO 2026 1;336;413;30/03/2026;No;0;413;RICO TORRES DIANAMILE;08-abr-26;29-abr-26;CONFECCION;0;413;CAMISETAS;DEPORTIVO;HOMBRE;NA; $ 27.990 ; $ 12.594 ; $ 11.133 ; $ 5.020.304 
5506;BOX297;MODA UNIVERSO 2026 1;700;763;26/03/2026;No;0;763;CORRALES DONCEL MARIA ISABEL;26-mar-26;17-abr-26;CONFECCION;0;763;BOXER;INTIMA;HOMBRE;NA; $ 28.990 ; $ 13.080 ; $ 11.562 ; $ 9.632.570 
5507;U24612;MODA UNIVERSO 2026 1;504;413;30/03/2026;Ok;413;0;;;;;0;413;PANTALONETAS;DEPORTIVO;HOMBRE;NA; $ 49.990 ; $ 20.609 ; $ 18.218 ; $ 8.215.272 
5508;P31001;LINEA UNIVERSO;304;364;26/03/2026;No;0;364;G & H DENIM TEX S.A.S;10-abr-26;11-may-26;CONFECCION;0;364;DRIL;ESPECIALES;DAMA;INDIGO; $ 79.900 ; $ 42.768 ; $ 37.867 ; $ 15.032.363 
5509;BOX298;MODA UNIVERSO 2026 1;700;763;26/03/2026;No;0;763;CORRALES DONCEL MARIA ISABEL;26-mar-26;17-abr-26;CONFECCION;0;763;BOXER;INTIMA;HOMBRE;NA; $ 26.990 ; $ 12.096 ; $ 10.693 ; $ 8.908.101 
5510;U24533;MODA UNIVERSO 2026 1;294;316;27/03/2026;Ok;316;0;;;;;0;316;CAMISETAS;DEPORTIVO;HOMBRE;NA; $ 39.990 ; $ 18.415 ; $ 16.279 ; $ 5.616.647 
5511;U24621;MODA UNIVERSO 2026 1;216;178;25/03/2026;No;0;178;LOPEZ MUÑOZ OSCAR EDUARDO;10-abr-26;24-abr-26;CONFECCION;0;178;BUSOS;URBANO;HOMBRE;NA; $ 47.990 ; $ 19.942 ; $ 17.629 ; $ 3.426.162 
5512;200066;LINEA UNIVERSO;490;532;26/03/2026;No;0;532;BOTERO CORREA RUBEN DARIO;10-abr-26;23-abr-26;CONFECCION;0;532;PIJAMAS;BASICO;DAMA;PUNTO; $ 24.990 ; $ 9.881 ; $ 8.735 ; $ 5.073.790 
5513;200066;LINEA UNIVERSO;504;546;27/03/2026;Ok;546;0;;;;;0;546;PIJAMAS;BASICO;DAMA;PUNTO; $ 24.990 ; $ 9.881 ; $ 8.735 ; $ 5.207.311 
5514;200066;LINEA UNIVERSO;504;406;26/03/2026;No;0;406;NARANJO JARAMILLO LUZ ADRIANA;10-abr-26;20-abr-26;CONFECCION;0;406;PIJAMAS;BASICO;DAMA;PUNTO; $ 24.990 ; $ 9.881 ; $ 8.735 ; $ 3.872.103 
5515;200066;LINEA UNIVERSO;392;378;27/03/2026;No;0;378;NARANJO JARAMILLO LUZ ADRIANA;10-abr-26;20-abr-26;CONFECCION;0;378;PIJAMAS;BASICO;DAMA;PUNTO; $ 24.990 ; $ 9.881 ; $ 8.735 ; $ 3.605.062 
5516;S11149;MODA UNIVERSO 2026 1;860;900;22/03/2026;No;0;900;G & H DENIM TEX S.A.S;26-mar-26;27-abr-26;CONFECCION;0;900;SHORT;ESPECIALES;DAMA;NA; $ 74.990 ; $ 36.804 ; $ 32.587 ; $ 31.985.010 
5517;S11150;MODA UNIVERSO 2026 1;750;615;22/03/2026;No;0;615;G & H DENIM TEX S.A.S;10-abr-26;11-may-26;CONFECCION;0;615;SHORT;ESPECIALES;DAMA;NA; $ 74.990 ; $ 36.651 ; $ 32.452 ; $ 21.765.650 
5518;S11150;MODA UNIVERSO 2026 1;600;600;22/03/2026;No;0;600;G & H DENIM TEX S.A.S;10-abr-26;11-may-26;CONFECCION;0;600;SHORT;ESPECIALES;DAMA;NA; $ 74.990 ; $ 36.651 ; $ 32.452 ; $ 21.234.780 
5519;S11151;MODA UNIVERSO 2026 1;770;681;24/03/2026;No;0;681;G & H DENIM TEX S.A.S;10-abr-26;11-may-26;CONFECCION;0;681;BERMUDAS;ESPECIALES;DAMA;NA; $ 79.990 ; $ 40.169 ; $ 35.566 ; $ 26.414.696 
5520;U24243;MODA UNIVERSO 2025;406;399;06/04/2026;No;0;0;;;;;0;399;PANTALONETAS;DEPORTIVO;HOMBRE;PLANO; $ 45.990 ; $ 20.236 ; $ 17.889 ; $ 7.793.228 
5521;S11153;MODA UNIVERSO 2026 1;490;490;24/03/2026;No;0;490;G & H DENIM TEX S.A.S;13-abr-26;30-abr-26;LAVANDERIA;0;490;BERMUDAS;ESPECIALES;DAMA;NA; $ 74.990 ; $ 36.851 ; $ 32.629 ; $ 17.436.356 
5522;S11153;MODA UNIVERSO 2026 1;480;496;24/03/2026;No;0;496;G & H DENIM TEX S.A.S;26-mar-26;27-abr-26;CONFECCION;0;496;BERMUDAS;ESPECIALES;DAMA;NA; $ 74.990 ; $ 36.851 ; $ 32.629 ; $ 17.649.862 
5523;S11154;MODA UNIVERSO 2026 1;490;503;24/03/2026;No;0;503;G & H DENIM TEX S.A.S;10-abr-26;11-may-26;CONFECCION;0;503;BERMUDAS;ESPECIALES;DAMA;NA; $ 74.990 ; $ 36.851 ; $ 32.629 ; $ 17.898.953 
5524;S11154;MODA UNIVERSO 2026 1;490;506;22/03/2026;No;0;506;G & H DENIM TEX S.A.S;10-abr-26;11-may-26;CONFECCION;0;506;BERMUDAS;ESPECIALES;DAMA;NA; $ 74.990 ; $ 36.851 ; $ 32.629 ; $ 18.005.706 
5525;U23851;LINEA UNIVERSO;402;378;10/04/2026;No;0;0;;;;;0;378;PANTALONETAS;DEPORTIVO;HOMBRE;NA; $ 46.990 ; $ 20.994 ; $ 18.559 ; $ 7.659.603 
